scraped_name,name,website,industry,squareLogo,overallRating,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating
ccp industries,CCP Industries,www.ccpind.com,Wholesale,https://media.glassdoor.com/sqll/197433/ccp-industries-squarelogo-1429264340311.png,2.9,3.1,3.3,2.7,3.1,3.6
ccr,Grupo CCR,www.grupoccr.com.br,,,2.0,2.0,2.0,2.0,2.0,4.0
ccs medical,CCS Medical,www.ccsmed.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/39106/ccs-medical-squarelogo.png,2.2,2.0,1.7,2.5,1.9,2.4
cdi corporation,CDI Corporation,www.cdicorp.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/118/cdi-squarelogo.png,2.9,2.7,2.5,2.8,2.6,3.3
cdm smith,CDM Smith,www.cdmsmith.com,Consulting,https://media.glassdoor.com/sqll/467657/cdm-smith-squarelogo.png,3.5,3.6,3.2,3.6,3.4,3.8
cdw,CDW,www.cdw.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/2347/cdw-squarelogo.png,3.9,4.2,3.7,3.4,3.8,3.8
ceb,CEB,www.cebglobal.com,Consulting,https://media.glassdoor.com/sqll/8557/ceb-squarelogo-1395771443875.png,3.4,3.5,3.1,3.2,3.2,3.5
"ceb, inc.",CEB,www.cebglobal.com,Consulting,https://media.glassdoor.com/sqll/8557/ceb-squarelogo-1395771443875.png,3.4,3.5,3.1,3.2,3.2,3.5
cec entertainment,Chuck E. Cheese's,www.chuckecheese.com,Casual Restaurants,https://media.glassdoor.com/sqll/1876/chuck-e-cheese-s-squarelogo-1410456416357.png,2.9,2.9,2.6,2.2,2.8,2.8
cedar enterprise inc,Cedar Enterprises,www.cedarenterprises.com,Fast-Food & Quick-Service Restaurants,,0,0.0,0.0,0.0,0.0,0.0
celadon trucking,Celadon Trucking Services,www.celadontrucking.com,Transportation Management,https://media.glassdoor.com/sqll/27970/celadon-trucking-services-squarelogo.png,2.4,2.2,2.0,2.1,2.3,2.4
celanese,Celanese,www.celanese.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/37824/celanese-squarelogo.png,3.3,3.1,2.8,3.8,2.9,3.1
cengage learning,Cengage Learning,www.cengage.com,Publishing,https://media.glassdoor.com/sqll/20055/cengage-learning-squarelogo-1422376634627.png,2.9,3.1,2.6,2.8,2.5,3.4
centech,The CENTECH GROUP,www.centechgroup.com,IT Services,https://media.glassdoor.com/sqll/20536/the-centech-group-squarelogo.png,2.2,2.3,1.8,3.0,2.6,2.5
"centech group, inc.",The CENTECH GROUP,www.centechgroup.com,IT Services,https://media.glassdoor.com/sqll/20536/the-centech-group-squarelogo.png,2.2,2.3,1.8,3.0,2.6,2.5
centene corporation,Centene,www.centene.com,Insurance Carriers,https://media.glassdoor.com/sqll/13542/centene-squarelogo.png,3.1,3.0,2.6,3.7,3.2,2.8
"centennial contractors enterprises, inc.",Centennial Contractors Enterprises,www.cce-inc.com,Construction,https://media.glassdoor.com/sqll/261368/centennial-contractors-enterprises-squarelogo-1429619387575.png,3.5,3.5,3.2,3.6,3.3,3.4
center for autism and related disorders,Center for Autism and Related Disorders,www.centerforautism.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/342598/center-for-autism-and-related-disorders-squarelogo-1455923501752.png,2.5,3.0,2.5,2.1,3.0,2.4
center for vein restoration,Center for Vein Restoration,www.centerforvein.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/627925/center-for-vein-restoration-squarelogo-1424872935313.png,2.2,2.5,2.3,2.6,2.8,2.4
centerline,CenterLine,www.cntrline.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/564740/centerline-squarelogo-1408116278339.png,3.3,3.6,2.7,3.3,2.8,3.1
centerra group,Centerra Group,www.centerragroup.com,,,3.0,2.2,2.5,3.3,2.5,2.6
centerra group llc.,Centerra Group,www.centerragroup.com,,,3.0,2.2,2.5,3.3,2.5,2.6
"centerra group, llc",Centerra Group,www.centerragroup.com,,,3.0,2.2,2.5,3.3,2.5,2.6
"centra medical group, llc",Centra Health,www.centrahealth.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/18402/centra-health-squarelogo.png,3.2,3.0,2.7,3.1,3.3,2.6
centra technology,CENTRA (Massachusetts),www.centratechnology.com,IT Services,https://media.glassdoor.com/sqll/213559/centra-massachusetts-squarelogo.png,2.9,2.6,2.5,3.9,2.5,3.8
central garden & pet,Central Garden & Pet,www.central.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/2254/central-garden-and-pet-squarelogo.png,2.8,2.8,2.6,2.8,2.5,3.2
"central radio company, inc",Central Radio,www.crci.us,,,2.6,1.0,1.0,2.0,2.0,5.0
central state hospital,Central State Hospital (Milledgeville),www.centralstatehospital.org,Health Care Services & Hospitals,,3.5,3.3,3.1,3.9,3.8,3.7
central virginia health network,Central Virginia Health Network,,,,0,0.0,0.0,0.0,0.0,0.0
centurum information technology,Centurum,www.centurum.com,Federal Agencies,https://media.glassdoor.com/sqll/255754/centurum-squarelogo.png,3.7,3.7,3.0,3.2,2.6,3.9
century engineering inc,Century Engineering,www.centuryengineering.com,Accounting,https://media.glassdoor.com/sqll/262464/century-engineering-squarelogo-1447758929486.png,4.0,3.0,3.0,3.0,3.0,5.0
"century engineering, inc.",Century Engineering,www.centuryengineering.com,Accounting,https://media.glassdoor.com/sqll/262464/century-engineering-squarelogo-1447758929486.png,4.0,3.0,3.0,3.0,3.0,5.0
century fasteners corp,Century Fasteners,www.centuryfasteners.com,Wholesale,https://media.glassdoor.com/sqll/649471/century-fasteners-squarelogo-1457523891859.png,1.9,1.6,1.6,2.3,1.8,1.6
centurylink,CenturyLink,www.centurylink.com,"Cable, Internet & Telephone Providers",https://media.glassdoor.com/sqll/248324/centurylink-squarelogo.png,3.0,3.0,2.5,3.3,2.8,3.3
ceramic technology,Korea Institute of Ceramic Engineering and Technology,www.kicet.re.kr,,,3.0,1.0,5.0,3.0,4.0,3.0
cerner,Cerner,www.cernercareers.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/1242/cerner-squarelogo.png,3.5,3.5,3.2,3.3,3.6,3.2
cerner corporation,Cerner,www.cernercareers.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/1242/cerner-squarelogo.png,3.5,3.5,3.2,3.3,3.6,3.2
certapro painters,CertaPro Painters,www.certapro.com,"Health, Beauty, & Fitness",https://media.glassdoor.com/sqll/246069/certapro-painters-squarelogo.png,3.7,3.8,3.4,2.5,2.8,3.3
certified pool service,Bill White Pool Service,,Building & Personnel Services,,0,0.0,0.0,0.0,0.0,0.0
ces security,CES Security,www.cessecurity.com,Security Services,,3.2,2.3,2.9,2.0,3.5,2.1
ceva logistics us inc,CEVA Logistics,www.cevalogistics.com,Logistics & Supply Chain,https://media.glassdoor.com/sqll/38403/ceva-logistics-squarelogo.png,2.9,2.7,2.4,2.9,2.7,2.8
"cfe, inc.",United Way,www.unitedway.org,Social Assistance,https://media.glassdoor.com/sqll/3013/united-way-squarelogo.png,3.6,3.8,3.2,3.1,3.0,3.9
cgi federal,CGI,www.cgi.com,Consulting,https://media.glassdoor.com/sqll/8452/cgi-squarelogo-1451998175252.png,3.3,3.4,2.9,3.0,3.1,3.5
"ch robinson worldwide, inc.",C.H. Robinson,www.chrobinson.com,Logistics & Supply Chain,https://media.glassdoor.com/sqll/7124/c-h-robinson-worldwide-squarelogo.png,3.2,3.3,3.0,3.0,2.9,2.9
ch2m,CH2M,www.ch2m.com,Construction,https://media.glassdoor.com/sqll/3121/ch2m-squarelogo-1459204513462.png,3.2,3.3,2.6,3.2,3.0,3.4
ch2m hill,CH2M,www.ch2m.com,Construction,https://media.glassdoor.com/sqll/3121/ch2m-squarelogo-1459204513462.png,3.2,3.3,2.6,3.2,3.0,3.4
champion national security,Champion National Security,www.champ.net,Security Services,https://media.glassdoor.com/sqll/437435/champion-national-security-squarelogo-1452029627828.png,3.1,3.3,2.9,2.9,3.0,3.3
change healthcare,Change Healthcare,www.changehealthcare.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/901352/change-healthcare-squarelogo-1447075126521.png,3.0,3.0,2.7,3.3,2.6,3.4
change management,Accenture,www.accenture.com,,https://media.glassdoor.com/sqll/4138/accenture-squarelogo-1480353968717.png,3.7,3.7,3.2,3.4,3.6,3.2
chantilly experience ( years,Chantilly Academy Gymnastics & Preschool,www.chantillyacademy.com,Education Training Services,,5.0,0.0,5.0,5.0,5.0,5.0
"chantilly, va",Raytheon,www.raytheon.com,Aerospace & Defense,https://media.glassdoor.com/sqll/561/raytheon-squarelogo-1424118252477.png,3.6,3.4,3.1,3.7,3.4,3.6
charles river laboratories,Charles River Laboratories,www.criver.com,Biotech & Pharmaceuticals,https://media.glassdoor.com/sqll/9837/charles-river-laboratories-squarelogo-1463687182149.png,2.9,3.0,2.5,3.0,2.9,3.0
charlottesville experience ( years,Charlottesville City Schools,www.ccs.k12.va.us,Preschool & Child Care,,2.9,3.2,3.0,4.1,2.9,3.8
chartway federal credit union,Chartway Federal Credit Union,www.chartway.com,Investment Banking & Asset Management,https://media.glassdoor.com/sqll/145504/chartway-federal-credit-union-squarelogo.png,3.1,2.8,2.6,2.9,3.0,3.1
chartwells,Chartwells,www.eatlearnlive.com,Catering & Food Service Contractors,https://media.glassdoor.com/sqll/18466/chartwells-squarelogo-1384783862919.png,3.0,3.0,2.7,2.6,3.0,3.0
chase professionals,Chase Professionals,www.chaseprofessionals.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/491303/chase-professionals-squarelogo-1423731614017.png,3.3,3.2,3.2,3.3,3.4,4.0
chase staffing,Chase Professionals,www.chaseprofessionals.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/491303/chase-professionals-squarelogo-1423731614017.png,3.3,3.2,3.2,3.3,3.4,4.0
"check point software technologies, inc.",Check Point Software Technologies,www.checkpoint.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/6161/check-point-software-squarelogo.png,3.4,3.3,3.0,2.8,3.3,3.3
"chemetrics, inc.",CHEMetrics,www.chemetrics.com,Chemical Manufacturing,,0,0.0,0.0,0.0,0.0,0.0
chemonics,Chemonics International,www.chemonics.com,Consulting,https://media.glassdoor.com/sqll/24167/chemonics-international-squarelogo.png,3.6,3.5,3.2,3.2,3.8,2.6
chemours,Chemours,www.chemours.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/1022084/chemours-squarelogo-1436198523974.png,2.7,2.8,2.3,3.3,2.5,3.4
chenega corporation,Chenega Corporation,www.chenega.com,IT Services,https://media.glassdoor.com/sqll/39894/chenega-squarelogo.png,3.2,2.8,2.9,3.0,2.4,3.3
chesapeake utilities corp,Chesapeake Utilities,www.chpk.com,Gas Stations,https://media.glassdoor.com/sqll/1250/chesapeake-utilities-squarelogo-1446711450063.png,2.5,3.4,3.0,4.1,3.1,3.0
chesterfield county,Chesterfield County Public Schools,www.chesterfield.k12.va.us,Preschool & Child Care,https://media.glassdoor.com/sqll/144506/chesterfield-county-public-schools-squarelogo.png,3.9,3.7,3.1,3.2,3.3,3.7
chesterfield county police department,Chesterfield County Police Department,www.co.chesterfield.va.us/publicsafety/police/pol_home.asp,Municipal Governments,,3.1,2.7,2.3,2.3,2.9,2.4
chesterfield heights,Chesterfield Heights Retirement Community,www.seniorlivinginstyle.com,,,4.0,4.0,4.0,5.0,2.0,4.0
childhelp,Childhelp,www.childhelp.org,Industrial Manufacturing,https://media.glassdoor.com/sqll/404671/childhelp-squarelogo.png,2.6,2.8,2.2,2.3,2.5,2.8
children of america,Children Of America,www.childrenofamerica.com,Preschool & Child Care,https://media.glassdoor.com/sqll/134126/children-of-america-squarelogo-1447869669523.png,2.4,2.6,2.5,2.1,2.7,2.6
children's national health system,Children's National Health System,www.childrensnational.org,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/18553/children-s-national-medical-center-squarelogo-1398275287749.png,3.5,3.0,2.8,3.1,3.2,3.1
chipton-ross inc.,Chipton-Ross,www.chiptonross.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/31237/chipton-ross-squarelogo.png,3.9,3.4,3.0,3.6,3.2,3.6
christopher & banks,Christopher & Banks,www.christopherandbanks.com,"Department, Clothing, & Shoe Stores",https://media.glassdoor.com/sqll/287/christopher-and-banks-squarelogo-1384788069995.png,2.7,2.8,2.3,2.5,2.5,2.7
chubb,Chubb,www.chubb.com,Insurance Carriers,https://media.glassdoor.com/sqll/150/chubb-squarelogo-1462204615843.png,3.4,3.3,3.0,3.3,3.1,3.5
chugach,Chugach Alaska,www.chugach.com,Federal Agencies,https://media.glassdoor.com/sqll/17778/chugach-alaska-squarelogo-1399065406223.png,2.9,2.7,2.6,3.1,2.8,2.9
"church & dwight co., inc.",Church & Dwight,www.churchdwight.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/1254/church-and-dwight-squarelogo.png,2.6,2.4,2.3,2.8,1.9,2.7
church world service,Church World Service,www.cwsglobal.org,Social Assistance,https://media.glassdoor.com/sqll/290348/church-world-service-squarelogo.png,2.2,3.1,2.4,2.1,2.1,3.0
churchill corporate services,Churchill Corporate Services,www.churchillcorp.com,Advertising & Marketing,https://media.glassdoor.com/sqll/520693/churchill-corporate-services-squarelogo-1432026480027.png,2.9,3.3,3.2,3.2,3.0,3.4
"ciber, inc",Ciber,www.ciber.com,IT Services,https://media.glassdoor.com/sqll/2619/ciber-squarelogo-1436278038640.png,2.6,2.6,2.3,3.0,2.4,3.3
cigna,Cigna,www.cigna.com,Insurance Carriers,https://media.glassdoor.com/sqll/119/cigna-squarelogo.png,3.5,3.5,3.2,3.4,3.4,3.6
"cimarron software services, inc.",Cimarron Software Services,www.cimarroninc.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/11274/cimarron-software-services-squarelogo-1426509557314.png,3.5,3.6,3.4,3.1,3.2,3.6
cintas,Cintas,www.cintas.com,Building & Personnel Services,https://media.glassdoor.com/sqll/1256/cintas-squarelogo.png,3.3,3.5,2.9,3.5,3.3,3.0
"circle of friends, llc",Circle of Friends,www.cofhealth.com,Health Care Services & Hospitals,,3.0,2.0,4.0,1.0,1.0,1.0
cis secure computing,CIS Secure Computing,www.cissecure.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/355122/cis-secure-computing-squarelogo-1473257963723.png,3.5,4.0,3.7,3.4,3.6,3.9
cisco,Cisco Systems,www.cisco.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/1425/cisco-systems-squarelogo-1479855777953.png,3.8,3.8,3.2,3.8,3.5,3.9
cit,CIT,www.cit.com,Investment Banking & Asset Management,https://media.glassdoor.com/sqll/6835/cit-group-squarelogo.png,2.9,2.7,2.7,2.9,2.6,3.2
cit group inc.,CIT,www.cit.com,Investment Banking & Asset Management,https://media.glassdoor.com/sqll/6835/cit-group-squarelogo.png,2.9,2.7,2.7,2.9,2.6,3.2
citi,Citi,www.citigroup.com,Investment Banking & Asset Management,https://media.glassdoor.com/sqll/8843/citi-squarelogo-1442955732838.png,3.5,3.3,3.0,3.3,3.3,3.3
citizant,Citizant,www.citizant.com,IT Services,https://media.glassdoor.com/sqll/25444/citizant-squarelogo.png,3.8,3.9,3.7,3.8,3.5,3.7
citizens,Citizens,www.citizensinc.com,Insurance Carriers,https://media.glassdoor.com/sqll/1264/citizens-squarelogo-1425893278164.png,2.4,2.7,2.5,2.8,2.9,2.9
citizens bank,Citizens Bank,jobs.citizensbank.com,Banks & Credit Unions,https://media.glassdoor.com/sqll/13640/citizens-bank-squarelogo-1429808417082.png,3.0,3.0,2.7,3.2,3.1,3.0
citizenship and immigration services,US Citizenship and Immigration Services,www.uscis.gov,Federal Agencies,https://media.glassdoor.com/sqll/41353/us-citizenship-and-immigration-services-squarelogo.png,3.4,3.3,2.9,3.5,2.9,4.0
citrix,Citrix,jobs.citrix.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/5432/citrix-systems-squarelogo-1414782780079.png,3.5,3.7,3.0,3.6,3.2,3.8
citrix systems inc.,Citrix,jobs.citrix.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/5432/citrix-systems-squarelogo-1414782780079.png,3.5,3.7,3.0,3.6,3.2,3.8
city of chesapeake,City of Chesapeake,www.cityofchesapeake.net,Municipal Governments,https://media.glassdoor.com/sqll/43182/city-of-chesapeake-squarelogo-1428491372613.png,1.6,1.7,1.9,2.5,2.0,2.0
city of danville,"Danville, VA",www.danville-va.gov,Municipal Governments,,1.7,1.0,1.0,3.3,1.7,2.4
city of franklin,"City of Franklin, TN",www.franklin-gov.com,Municipal Governments,,2.0,2.5,3.1,2.5,3.1,3.5
city of harrisonburg,City of Harrisonburg Fire Department,www.harrisonburgfire.com,Municipal Governments,,0,0.0,0.0,0.0,0.0,0.0
city of martinsville,Martinsville City Public Schools,www.martinsville.k12.va.us,Colleges & Universities,https://media.glassdoor.com/sqll/717085/martinsville-city-public-schools-squarelogo-1451468644217.png,2.7,2.4,2.4,2.0,2.1,2.8
city of newport news,City of Newport News Virginia,www.nngov.com,Federal Agencies,https://media.glassdoor.com/sqll/43184/city-of-newport-news-virginia-squarelogo.png,3.5,3.3,3.1,3.1,3.1,3.6
city of petersburg,City of St. Petersburg,www.stpete.org,Municipal Governments,https://media.glassdoor.com/sqll/43205/city-of-st-petersburg-squarelogo-1428491716865.png,3.7,3.4,3.6,3.6,3.1,4.3
city of radford,Radford Chamber Of Commerce,www.radfordchamber.com,,,0,0.0,0.0,0.0,0.0,0.0
city of roanoke,City of Roanoke,www.roanokeva.gov,Municipal Governments,https://media.glassdoor.com/sqll/291291/city-of-roanoke-squarelogo-1419955491187.png,4.3,3.8,3.6,4.0,4.0,4.5
city of waynesboro,City of Waynesboro,www.waynesboro.va.us,,,4.0,5.0,4.0,2.0,4.0,5.0
city of winchester,City of Winchester,www.winchesterva.gov,Municipal Governments,,3.2,3.2,3.2,3.6,2.5,3.0
city wide maintenance,City Wide,www.gocitywide.com,Building & Personnel Services,https://media.glassdoor.com/sqll/873471/city-wide-squarelogo-1463056344316.png,4.1,4.2,4.1,3.8,3.9,4.1
"cjseto support services, llc",CJSeto Support Services,www.cjseto.com,Consulting,,3.6,3.4,3.9,3.4,3.9,3.9
claiborne recruiting,Claiborne Parish Schools,www.claibornepsb.org,,,5.0,5.0,5.0,5.0,5.0,5.0
clarendon art and framing llc,Clarendon Art Framing,www.clarendonartframing.com,Photography,,0,0.0,0.0,0.0,0.0,0.0
clark construction,Clark Construction Group,www.clarkconstruction.com,Construction,https://media.glassdoor.com/sqll/16965/clark-construction-group-squarelogo-1384801500799.png,3.9,4.2,3.8,3.5,4.0,3.0
"clark nexsen, inc.",Clark Nexsen,www.clarknexsen.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/261776/clark-nexsen-architecture-squarelogo-1453991386916.png,3.9,3.8,3.5,3.7,3.6,4.1
classic creations,Classic Stone Creations,www.classicstonecreations.com,Industrial Manufacturing,,1.0,0.0,0.0,0.0,0.0,0.0
clean + safe llc,Clean Hands Safe Hands,www.cleanhands-safehands.com,,,1.0,0.0,0.0,0.0,0.0,0.0
clean harbors cooperative llc,Clean Harbors,www.cleanharbors.com,Building & Personnel Services,https://media.glassdoor.com/sqll/1269/clean-harbors-squarelogo.png,2.6,2.5,2.2,2.6,2.4,2.4
clean harbors environmental services,Clean Harbors,www.cleanharbors.com,Building & Personnel Services,https://media.glassdoor.com/sqll/1269/clean-harbors-squarelogo.png,2.6,2.5,2.2,2.6,2.4,2.4
"clean harbors environmental services, inc",Clean Harbors,www.cleanharbors.com,Building & Personnel Services,https://media.glassdoor.com/sqll/1269/clean-harbors-squarelogo.png,2.6,2.5,2.2,2.6,2.4,2.4
clean slate llc,Clean Slate Preservation,www.cspreo.com,,,5.0,5.0,5.0,3.0,3.0,5.0
cliftonlarsonallen,CliftonLarsonAllen,www.claconnect.com,Accounting,https://media.glassdoor.com/sqll/466297/cliftonlarsonallen-squarelogo.png,3.4,3.4,3.3,3.1,3.6,3.4
"cliftonlarsonallen, llp",CliftonLarsonAllen,www.claconnect.com,Accounting,https://media.glassdoor.com/sqll/466297/cliftonlarsonallen-squarelogo.png,3.4,3.4,3.3,3.1,3.6,3.4
clinch valley medical center,Clinch Valley Medical Center,www.clinchvalleymedicalcenter.com,Health Care Services & Hospitals,,3.6,0.0,3.0,3.0,3.0,4.3
"closet america, llc",Closet America,www.closetamerica.com,General Repair & Maintenance,https://media.glassdoor.com/sqll/815543/closet-america-squarelogo-1449758739600.png,4.0,5.0,5.0,2.5,3.5,2.0
clp resources inc.,CLP Resources,www.clp.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/24038/clp-resources-squarelogo.png,3.5,3.6,3.5,3.3,3.5,3.3
cmci,CMCI,www.cmci.in,Education Training Services,,3.8,3.2,2.6,3.2,3.6,3.8
cmg,CMG,www.cmg.com.my,IT Services,https://media.glassdoor.com/sqll/946534/cmg-squarelogo-1462958008827.png,2.4,1.6,1.8,2.3,2.1,1.9
cna,CNA,www.cna.com,Insurance Carriers,https://media.glassdoor.com/sqll/121/cna-squarelogo-1436208637479.png,3.1,3.0,2.8,3.3,3.1,3.4
cnrl,Canadian Natural Resources,www.cnrl.com,Oil & Gas Exploration & Production,https://media.glassdoor.com/sqll/7998/canadian-natural-squarelogo.png,3.7,3.7,3.4,3.8,3.6,3.7
coast guard community services command,US Coast Guard,www.uscg.mil,Federal Agencies,https://media.glassdoor.com/sqll/41291/us-coast-guard-squarelogo.png,4.1,4.2,3.2,4.2,4.0,3.3
coastal hospitality associates,Coastal Hospitality Hotels,www.coastalhospitalityhotels.com,"Hotels, Motels, & Resorts",,2.4,1.0,1.0,2.0,3.0,1.0
"coastal hospitality associates, llc",Coastal Hospitality Hotels,www.coastalhospitalityhotels.com,"Hotels, Motels, & Resorts",,2.4,1.0,1.0,2.0,3.0,1.0
cobham,Cobham,www.cobham.com,Aerospace & Defense,https://media.glassdoor.com/sqll/8584/cobham-squarelogo-1384801843325.png,2.8,2.6,2.3,3.0,2.6,2.8
coca cola consolidated bottling company,Coca-Cola Bottling Co. Consolidated,www.cokeconsolidated.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/1272/coca-cola-bottling-consolidated-squarelogo-1418939283822.png,3.0,3.2,2.7,3.4,3.1,2.7
coca-cola bottling company,Coca-Cola Bottling Company,,,,3.0,2.0,2.0,3.0,2.7,1.7
coca-cola bottling company consolidated,Coca-Cola Bottling Co. Consolidated,www.cokeconsolidated.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/1272/coca-cola-bottling-consolidated-squarelogo-1418939283822.png,3.0,3.2,2.7,3.4,3.1,2.7
coca-cola refreshments,Coca-Cola Company,www.coca-colacompany.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/161/coca-cola-refreshments-squarelogo.png,3.4,3.3,2.9,3.5,3.1,3.1
"cogar group, the",Cogar Community Fire Department Association,,Municipal Governments,,0,0.0,0.0,0.0,0.0,0.0
cognitive professional services,Cognitive Professional Services,www.cog-ps.com,,,0,0.0,0.0,0.0,0.0,0.0
cognizant technology solutions,Cognizant Technology Solutions,www.cognizant.com,IT Services,https://media.glassdoor.com/sqll/8014/cognizant-technology-solutions-squarelogo-1471345344068.png,3.6,3.6,3.0,3.2,3.5,3.4
cognos,Cognos,www.cognos.com,Enterprise Software & Network Solutions,https://media.glassdoor.com/sqll/4170/cognos-squarelogo-1412173259590.png,3.5,4.3,2.8,3.6,3.1,3.5
cognosante,Cognosante,www.cognosante.com,IT Services,https://media.glassdoor.com/sqll/405477/cognosante-squarelogo-1384372373317.png,3.0,2.7,2.4,3.3,2.1,2.8
cohnreznick llp,CohnReznick,www.cohnreznick.com,Accounting,https://media.glassdoor.com/sqll/37815/cohnreznick-squarelogo.png,3.4,3.5,3.1,3.2,3.4,3.2
"coin wrap, inc.",Coin Wrap,www.coinwrap.com,Advertising & Marketing,,2.4,2.3,1.9,2.3,2.3,2.7
"cole engineering services, inc.",Cole Engineering Services,www.coleengineering.com,Aerospace & Defense,,4.6,5.0,4.8,3.9,3.6,5.0
coley & associates,Coley & Associates,www.coleysolutions.com,Federal Agencies,https://media.glassdoor.com/sqll/756238/coley-and-associates-squarelogo-1434546390559.png,4.3,4.5,4.4,3.6,3.5,4.3
colgate,Colgate-Palmolive,www.colgatepalmolive.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/162/colgate-palmolive-squarelogo.png,3.8,4.0,3.4,3.8,3.5,3.7
collabera,Collabera,www.collabera.com,IT Services,https://media.glassdoor.com/sqll/13754/collabera-squarelogo.png,3.2,3.1,2.9,2.8,3.1,3.0
collabralink technologies inc,CollabraLink Technologies,www.collabralink.com,Consulting,https://media.glassdoor.com/sqll/267702/collabralink-technologies-squarelogo.png,4.0,4.0,3.8,4.1,3.1,3.9
collins engineers inc,Collins Engineers,www.collinsengr.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/225726/collins-engineers-squarelogo-1446034058290.png,3.5,3.3,2.8,2.9,3.0,3.2
"collins engineers, inc.",Collins Engineers,www.collinsengr.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/225726/collins-engineers-squarelogo-1446034058290.png,3.5,3.3,2.8,2.9,3.0,3.2
colonial behavioral health,Colonial Behavioral Health,www.colonialbh.org,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/1093957/colonial-behavioral-health-squarelogo-1453999206114.png,3.0,4.0,3.0,3.0,3.0,4.0
"colonial management group, lp",Colonial Management Group,www.cmgcareers.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/785523/colonial-management-group-squarelogo-1426484976756.png,2.8,3.0,2.7,3.0,3.1,3.0
"colonial parking, inc",Colonial Parking,www.ecolonial.com,Parking Lots & Garages,https://media.glassdoor.com/sqll/762193/colonial-parking-squarelogo-1464084714034.png,3.6,3.0,2.7,2.7,2.4,2.4
"colonial parking, inc.",Colonial Parking,www.ecolonial.com,Parking Lots & Garages,https://media.glassdoor.com/sqll/762193/colonial-parking-squarelogo-1464084714034.png,3.6,3.0,2.7,2.7,2.4,2.4
colonial pipeline company,Colonial Pipeline,www.colpipe.com,Oil & Gas Services,https://media.glassdoor.com/sqll/17780/colonial-pipeline-squarelogo.png,3.8,3.7,3.6,3.7,3.5,3.3
colonial williamsburg foundation,Colonial Williamsburg Foundation,www.colonialwilliamsburg.org,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/19785/colonial-williamsburg-foundation-squarelogo.png,3.0,3.2,2.7,3.7,2.6,3.2
colonna's shipyard,Colonna's Shipyard,www.colonnaship.com,,,0,0.0,0.0,0.0,0.0,0.0
columbia forest products,Columbia Forest Products,www.columbiaforestproducts.com,Wood Product Manufacturing,https://media.glassdoor.com/sqll/8675/columbia-forest-products-squarelogo-1475522584395.png,3.7,3.5,3.0,4.0,3.4,3.2
columbia lighthouse for the blind,Columbia Lighthouse for the Blind,www.clb.org,,,1.5,1.6,1.2,1.2,1.2,1.8
columbia pipeline group,Columbia Pipeline Group,www.cpg.com,Utilities,,4.0,4.3,3.7,4.3,3.4,4.0
columbia sportswear company,Columbia Sportswear,www.columbia.com,,https://media.glassdoor.com/sqll/3853/columbia-sportswear-squarelogo-1458918828626.png,3.6,3.6,3.0,3.1,2.9,3.6
columbus technologies and services,Columbus Technologies And Services,www.columbususa.com,Federal Agencies,https://media.glassdoor.com/sqll/274106/columbus-technologies-and-services-squarelogo-1447916641805.png,4.2,3.7,3.8,3.9,3.0,3.8
combined insurance,Combined Insurance,www.combinedinsurance.com,Insurance Carriers,https://media.glassdoor.com/sqll/14569/combined-insurance-squarelogo-1452873172250.png,3.1,3.4,3.1,3.0,3.2,2.9
